ID	Cell Type	Cell Subtype
197183	colorectal_tumor	colorectal_tumor (MYC-high)
197184	TCD4_reg	TCD4_reg (FOXP3-high)
197189	colorectal_tumor	colorectal_tumor (EMT-high)
197195	colorectal_tumor	colorectal_tumor (EMT-high)
197204	colorectal_tumor	colorectal_tumor (EMT-high)
197207	colorectal_tumor	colorectal_tumor (WNT-high)
197212	colorectal_tumor	colorectal_tumor (MYC-high)
197216	colorectal_tumor	colorectal_tumor (WNT-high)
197217	colorectal_tumor	colorectal_tumor (KRAS-high)
197219	colorectal_tumor	colorectal_tumor (MSI)
197230	colorectal_tumor	colorectal_tumor (MYC-high)
197236	colorectal_tumor	colorectal_tumor (MSI)
197238	Mac_LA	Mac_LA (TREM2-high)
197242	Fibroblasts	Fibroblasts (myCAF)
197248	colorectal_tumor	colorectal_tumor (EMT-high)
197249	Fibroblasts	Fibroblasts (iCAF)
197252	colorectal_tumor	colorectal_tumor (EMT-high)
197265	TCD4_reg	TCD4_reg (FOXP3-high)
197270	colorectal_tumor	colorectal_tumor (MYC-high)
197272	colorectal_tumor	colorectal_tumor (MYC-high)
197274	colorectal_tumor	colorectal_tumor (KRAS-high)
197288	colorectal_tumor	colorectal_tumor (MYC-high)
197289	Endothelial	Endothelial (tip)
197301	Fibroblasts	Fibroblasts (iCAF)
197302	colorectal_tumor	colorectal_tumor (MSI)
197305	Fibroblasts	Fibroblasts (LRRC15+)
197309	Mac_LA	Mac_LA (TREM2-high)
197311	colorectal_tumor	colorectal_tumor (WNT-high)
197312	Fibroblasts	Fibroblasts (myCAF)
197314	colorectal_tumor	colorectal_tumor (MSI)
197318	colorectal_tumor	colorectal_tumor (MYC-high)
197322	colorectal_tumor	colorectal_tumor (WNT-high)
197326	colorectal_tumor	colorectal_tumor (WNT-high)
197329	colorectal_tumor	colorectal_tumor (EMT-high)
197338	colorectal_tumor	colorectal_tumor (EMT-high)
197340	colorectal_tumor	colorectal_tumor (MSI)
197341	Fibroblasts	Fibroblasts (myCAF)
197343	colorectal_tumor	colorectal_tumor (EMT-high)
197348	Fibroblasts	Fibroblasts (LRRC15+)
197350	colorectal_tumor	colorectal_tumor (KRAS-high)
197358	Mac_LA	Mac_LA (TREM2-high)
197360	colorectal_tumor	colorectal_tumor (MSI)
197366	Mac_LA	Mac_LA (SPP1-high)
197368	TCD4_reg	TCD4_reg (TIGIT-high)
197379	Fibroblasts	Fibroblasts (iCAF)
197392	colorectal_tumor	colorectal_tumor (EMT-high)
197393	Fibroblasts	Fibroblasts (iCAF)
197395	Fibroblasts	Fibroblasts (LRRC15+)
197396	RTM_LA	RTM_LA (FOLR2-high)
197402	colorectal_tumor	colorectal_tumor (KRAS-high)
197408	Mac_LA	Mac_LA (TREM2-high)
197410	Fibroblasts	Fibroblasts (myCAF)
197419	Fibroblasts	Fibroblasts (myCAF)
197420	colorectal_tumor	colorectal_tumor (MYC-high)
197422	TCD4_reg	TCD4_reg (FOXP3-high)
197423	colorectal_tumor	colorectal_tumor (KRAS-high)
197424	colorectal_tumor	colorectal_tumor (WNT-high)
197432	Fibroblasts	Fibroblasts (iCAF)
197434	colorectal_tumor	colorectal_tumor (KRAS-high)
197439	RTM_LA	RTM_LA (C1Q-high)
197442	Fibroblasts	Fibroblasts (myCAF)
197443	Fibroblasts	Fibroblasts (LRRC15+)
197445	colorectal_tumor	colorectal_tumor (WNT-high)
197446	Mast_cells	Mast_cells (TPSAB1-high)
197453	colorectal_tumor	colorectal_tumor (WNT-high)
197454	TCD8_naive	TCD8_naive (TCF7-high)
197456	Mac_LA	Mac_LA (TREM2-high)
197462	Mast_cells	Mast_cells (TPSAB1-high)
197463	colorectal_tumor	colorectal_tumor (EMT-high)
197467	Fibroblasts	Fibroblasts (LRRC15+)
197468	Fibroblasts	Fibroblasts (myCAF)
197472	colorectal_tumor	colorectal_tumor (WNT-high)
197473	Fibroblasts	Fibroblasts (LRRC15+)
197475	colorectal_tumor	colorectal_tumor (MYC-high)
197483	Mac_LA	Mac_LA (SPP1-high)
197484	colorectal_tumor	colorectal_tumor (WNT-high)
197491	colorectal_tumor	colorectal_tumor (WNT-high)
197495	colorectal_tumor	colorectal_tumor (MSI)
197497	colorectal_tumor	colorectal_tumor (MYC-high)
197498	Fibroblasts	Fibroblasts (LRRC15+)
197503	colorectal_tumor	colorectal_tumor (KRAS-high)
197505	RTM_LA	RTM_LA (C1Q-high)
197512	RTM_LA	RTM_LA (FOLR2-high)
197513	colorectal_tumor	colorectal_tumor (EMT-high)
197518	colorectal_tumor	colorectal_tumor (WNT-high)
197526	colorectal_tumor	colorectal_tumor (MSI)
197527	colorectal_tumor	colorectal_tumor (KRAS-high)
197528	colorectal_tumor	colorectal_tumor (EMT-high)
197536	colorectal_tumor	colorectal_tumor (MSI)
197544	colorectal_tumor	colorectal_tumor (MSI)
197546	colorectal_tumor	colorectal_tumor (WNT-high)
197547	colorectal_tumor	colorectal_tumor (MSI)
197551	colorectal_tumor	colorectal_tumor (KRAS-high)
197556	colorectal_tumor	colorectal_tumor (WNT-high)
197558	colorectal_tumor	colorectal_tumor (EMT-high)
197561	colorectal_tumor	colorectal_tumor (WNT-high)
197562	colorectal_tumor	colorectal_tumor (WNT-high)
197563	colorectal_tumor	colorectal_tumor (MSI)
197564	Fibroblasts	Fibroblasts (myCAF)
197569	Fibroblasts	Fibroblasts (myCAF)
197571	colorectal_tumor	colorectal_tumor (KRAS-high)
197574	colorectal_tumor	colorectal_tumor (MYC-high)
197580	colorectal_tumor	colorectal_tumor (MYC-high)
197581	Fibroblasts	Fibroblasts (LRRC15+)
197582	colorectal_tumor	colorectal_tumor (WNT-high)
197588	colorectal_tumor	colorectal_tumor (KRAS-high)
197611	colorectal_tumor	colorectal_tumor (MYC-high)
197615	colorectal_tumor	colorectal_tumor (EMT-high)
197618	colorectal_tumor	colorectal_tumor (MYC-high)
197625	colorectal_tumor	colorectal_tumor (MYC-high)
197633	colorectal_tumor	colorectal_tumor (KRAS-high)
197636	colorectal_tumor	colorectal_tumor (EMT-high)
197638	colorectal_tumor	colorectal_tumor (EMT-high)
197647	colorectal_tumor	colorectal_tumor (KRAS-high)
197649	colorectal_tumor	colorectal_tumor (MSI)
197650	colorectal_tumor	colorectal_tumor (MYC-high)
197654	colorectal_tumor	colorectal_tumor (MSI)
197656	colorectal_tumor	colorectal_tumor (MSI)
197662	colorectal_tumor	colorectal_tumor (EMT-high)
197664	colorectal_tumor	colorectal_tumor (KRAS-high)
197665	colorectal_tumor	colorectal_tumor (MSI)
197669	colorectal_tumor	colorectal_tumor (KRAS-high)
197673	colorectal_tumor	colorectal_tumor (MYC-high)
197678	colorectal_tumor	colorectal_tumor (EMT-high)
197681	colorectal_tumor	colorectal_tumor (WNT-high)
197683	colorectal_tumor	colorectal_tumor (MYC-high)
197687	colorectal_tumor	colorectal_tumor (EMT-high)
197688	Fibroblasts	Fibroblasts (iCAF)
197689	colorectal_tumor	colorectal_tumor (MSI)
197696	RTM_LA	RTM_LA (FOLR2-high)
197699	Fibroblasts	Fibroblasts (LRRC15+)
197702	colorectal_tumor	colorectal_tumor (WNT-high)
197706	colorectal_tumor	colorectal_tumor (EMT-high)
197709	colorectal_tumor	colorectal_tumor (WNT-high)
197710	colorectal_tumor	colorectal_tumor (KRAS-high)
197716	colorectal_tumor	colorectal_tumor (EMT-high)
197722	colorectal_tumor	colorectal_tumor (WNT-high)
197723	colorectal_tumor	colorectal_tumor (MSI)
197726	colorectal_tumor	colorectal_tumor (MSI)
197730	Fibroblasts	Fibroblasts (LRRC15+)
197744	colorectal_tumor	colorectal_tumor (MYC-high)
197745	colorectal_tumor	colorectal_tumor (KRAS-high)
197751	Fibroblasts	Fibroblasts (iCAF)
197754	Fibroblasts	Fibroblasts (iCAF)
197756	colorectal_tumor	colorectal_tumor (MYC-high)
197757	Fibroblasts	Fibroblasts (LRRC15+)
197765	colorectal_tumor	colorectal_tumor (EMT-high)
197767	Fibroblasts	Fibroblasts (LRRC15+)
197770	colorectal_tumor	colorectal_tumor (WNT-high)
197772	colorectal_tumor	colorectal_tumor (MYC-high)
197780	TCD4_reg	TCD4_reg (FOXP3-high)
197790	B_cells	B_cells (plasma)
197793	Fibroblasts	Fibroblasts (myCAF)
197794	Fibroblasts	Fibroblasts (myCAF)
197797	B_cells	B_cells (GC)
197798	Endothelial	Endothelial (arterial)
197801	Endothelial	Endothelial (venous)
197805	colorectal_tumor	colorectal_tumor (EMT-high)
197806	colorectal_tumor	colorectal_tumor (MYC-high)
197810	colorectal_tumor	colorectal_tumor (MYC-high)
197811	colorectal_tumor	colorectal_tumor (WNT-high)
197815	colorectal_tumor	colorectal_tumor (MYC-high)
197819	colorectal_tumor	colorectal_tumor (MYC-high)
197823	colorectal_tumor	colorectal_tumor (MSI)
197826	Mac_LA	Mac_LA (TREM2-high)
197829	colorectal_tumor	colorectal_tumor (MYC-high)
197832	colorectal_tumor	colorectal_tumor (EMT-high)
197835	colorectal_tumor	colorectal_tumor (EMT-high)
197842	Fibroblasts	Fibroblasts (iCAF)
197862	Fibroblasts	Fibroblasts (iCAF)
197863	Fibroblasts	Fibroblasts (myCAF)
197874	colorectal_tumor	colorectal_tumor (KRAS-high)
197891	Fibroblasts	Fibroblasts (myCAF)
197893	colorectal_tumor	colorectal_tumor (KRAS-high)
197894	RTM_LA	RTM_LA (FOLR2-high)
197900	Fibroblasts	Fibroblasts (LRRC15+)
197903	colorectal_tumor	colorectal_tumor (EMT-high)
197912	Fibroblasts	Fibroblasts (LRRC15+)
197915	colorectal_tumor	colorectal_tumor (MSI)
197916	colorectal_tumor	colorectal_tumor (MYC-high)
197926	colorectal_tumor	colorectal_tumor (KRAS-high)
197930	colorectal_tumor	colorectal_tumor (WNT-high)
197943	Fibroblasts	Fibroblasts (iCAF)
197946	RTM_LA	RTM_LA (C1Q-high)
197950	colorectal_tumor	colorectal_tumor (MYC-high)
197962	colorectal_tumor	colorectal_tumor (KRAS-high)
197966	colorectal_tumor	colorectal_tumor (KRAS-high)
197969	colorectal_tumor	colorectal_tumor (MYC-high)
197970	colorectal_tumor	colorectal_tumor (KRAS-high)
197973	colorectal_tumor	colorectal_tumor (EMT-high)
197976	colorectal_tumor	colorectal_tumor (EMT-high)
197983	colorectal_tumor	colorectal_tumor (EMT-high)
197988	Fibroblasts	Fibroblasts (myCAF)
197990	colorectal_tumor	colorectal_tumor (WNT-high)
197993	colorectal_tumor	colorectal_tumor (WNT-high)
197997	Fibroblasts	Fibroblasts (iCAF)
197998	Endothelial	Endothelial (arterial)
198000	colorectal_tumor	colorectal_tumor (MYC-high)
198002	colorectal_tumor	colorectal_tumor (EMT-high)
198007	Fibroblasts	Fibroblasts (myCAF)
198010	colorectal_tumor	colorectal_tumor (EMT-high)
198015	colorectal_tumor	colorectal_tumor (WNT-high)
198018	colorectal_tumor	colorectal_tumor (KRAS-high)
198019	Fibroblasts	Fibroblasts (myCAF)
198024	Fibroblasts	Fibroblasts (iCAF)
198028	colorectal_tumor	colorectal_tumor (EMT-high)
198036	Fibroblasts	Fibroblasts (LRRC15+)
198037	TCD8_naive	TCD8_naive (TCF7-high)
198041	Fibroblasts	Fibroblasts (iCAF)
198042	colorectal_tumor	colorectal_tumor (EMT-high)
198043	Mac_LA	Mac_LA (SPP1-high)
198044	colorectal_tumor	colorectal_tumor (KRAS-high)
198052	TCD4_reg	TCD4_reg (TIGIT-high)
198054	colorectal_tumor	colorectal_tumor (MSI)
198056	Fibroblasts	Fibroblasts (iCAF)
198064	colorectal_tumor	colorectal_tumor (EMT-high)
198065	colorectal_tumor	colorectal_tumor (WNT-high)
198071	Mac_LA	Mac_LA (TREM2-high)
198082	colorectal_tumor	colorectal_tumor (MSI)
198083	Fibroblasts	Fibroblasts (iCAF)
198085	colorectal_tumor	colorectal_tumor (KRAS-high)
198088	Fibroblasts	Fibroblasts (myCAF)
198092	colorectal_tumor	colorectal_tumor (MYC-high)
198094	colorectal_tumor	colorectal_tumor (EMT-high)
198108	colorectal_tumor	colorectal_tumor (KRAS-high)
198114	colorectal_tumor	colorectal_tumor (WNT-high)
198115	Fibroblasts	Fibroblasts (iCAF)
198121	Fibroblasts	Fibroblasts (LRRC15+)
198125	Fibroblasts	Fibroblasts (myCAF)
